stt,title,road,parking,square,price,dis_q,dis,date
7045,"Bán Gấp Đất Mặt Phố Âu- Đón Quy Hoạch, 200m2, Mặt Tiền 10m, 40 Tỷ",24m,0,200.0,40 tỷ,Quận Tây Hồ,"Đường Âu Cơ, Phường Quảng An, Quận Tây Hồ, Hà Nội",05/05/2023
7046,"Bán Đất Xây Khách Sạn Mặt Phố Cổ Bát Sứ -Hoàn Kiếm, 107m2, MT 4.6m, 57 Tỷ",12m,0,107.0,57 tỷ,Quận Hoàn Kiếm,"Phố Bát Sứ, Phường Hàng Bồ, Quận Hoàn Kiếm, Hà Nội",05/05/2023
7047,"Bán Đất Mặt Đường Hoàng Quốc Việt, Mặt Tiền 16m, DT345m2, Lô Góc, Giá 80 Tỷ",24m,0,345.0,80 tỷ,Quận Cầu Giấy,"Đường Hoàng Quốc Việt, Phường Nghĩa Tân, Quận Cầu Giấy, Hà Nội",05/05/2023
7048,"Bán Lô Đất Mặt Đường Âu Cơ ( Bên lẻ), DT 626m2, MT 19m, Giá 215tr/m2",25m,0,626.0,215 triệu / m2,Quận Tây Hồ,"Đường Âu Cơ, Phường Nhật Tân, Quận Tây Hồ, Hà Nội",05/05/2023
7049,"Đất vàng mặt phố Xuân Diệu, DT405m2, MT 12.5m, View Hồ Tây, giá 110 tỷ",15m,0,405.0,110 tỷ,Quận Tây Hồ,"Đường Xuân Diệu, Phường Quảng An, Quận Tây Hồ, Hà Nội",05/05/2023
7050,"Siêu Hiếm! Bán Đất Mặt Hồ Tây, DT 700m2, MT50m, 1 Mặt Hồ 2 Mặt Ngõ, Giá 400Tr/m2",20m,0,700.0,400 triệu / m2,Quận Tây Hồ,"Đường Quảng Bá, Phường Quảng An, Quận Tây Hồ, Hà Nội",05/05/2023
7051,"Bán Đất Phố Tô Ngọc Vân, 200m2, Mặt Tiền 12m, 20m Ra MP ÔTô Vào Nhà, 41.4 Tỷ",4m,0,200.0,"41,4 tỷ",Quận Tây Hồ,"Đường Tô Ngọc Vân, Phường Quảng An, Quận Tây Hồ, Hà Nội",05/05/2023
7052,Cực Hiếm Để Có Lô Đất 2.15ty S50m2  Biên Giang Hà Đông Oto Vào Nhà Gần Chợ Và Trường Học,4m,0,50.0,"2,15 tỷ",Quận Hà Đông,"Đường Giang Chính, Phường Biên Giang, Quận Hà Đông, Hà Nội",05/05/2023
7053,Bán Lô Đất 3 Mặt Tiền Rất Đẹp Oto Vào Nhà Ở Luôn Trung Tâm Phường Biên Giang Hà Đông S90M2,4m,0,90.0,"2,97 tỷ",Quận Hà Đông,"Đường An Thắng, Phường Biên Giang, Quận Hà Đông, Hà Nội",05/05/2023
7054,"Bán đất thôn xx Khê xã Nguyên Khê Đông Anh diện tích 80m2 mặt tiền 7,5 m giá yêu thương",5m,0,80.0,"2,1 tỷ",Huyện Đông Anh,"Xã Nguyên Khê, Huyện Đông Anh, Hà Nội",05/05/2023
7055,"Bán mảnh Đất rất đẹp mặt phố Liễu Giai, Ba Đình 335 m2 giá 270 tỷ",40m,0,335.0,270 tỷ,Quận Ba Đình,"Phố Liễu Giai, Phường Liễu Giai, Quận Ba Đình, Hà Nội",05/05/2023
7056,"ĐẤT BÙI XƯƠNG TRẠCH 60M, MT5M, MẶT NGÕ, THÔNG SỐ VÀNG, CHÀO 4,4 TỶ.",2m,0,60.0,"4,4 tỷ",Quận Thanh Xuân,"Đường Bùi Xương Trạch, Phường Khương Đình, Quận Thanh Xuân, Hà Nội",05/05/2023
7057,"Bán đất giá rẻ Tứ Hiệp Thanh Trì, 56m, ô tô 7 chỗ, giá chỉ 2.2 tỷ.",4m,0,56.0,"2,2 tỷ",Huyện Thanh Trì,"Đường Tứ Hiệp, Xã Tứ Hiệp, Huyện Thanh Trì, Hà Nội",05/05/2023
7058,"Bán đất Kinh Nỗ Uy  Nỗ Đông Anh chỉ 2,25 tỷ với diện tích 52m2 gần trung tâm",5m,0,52.0,"2,25 tỷ",Huyện Đông Anh,"Xã Uy Nỗ, Huyện Đông Anh, Hà Nội",05/05/2023
7059,"“CỰC SỐC”Bán Đất Mỹ Đình, Ô Tô Tránh Cách 15M, Lô Góc, Giá Đầu Tư.

DT 155m, Giá 7.95",3m,0,155.0,"7,95 tỷ",Quận Nam Từ Liêm,"Đường Mỹ Đình, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",05/05/2023
7060,"Cần bán Đất Hải Bối Đông Anh chỉ 3,8 tỷ với diện tích 100m2 oto vào cửa nhà","4,5m",0,100.0,"3,8 tỷ",Huyện Đông Anh,"Đường Bắc Thăng Long-Hải Bối, Xã Hải Bối, Huyện Đông Anh, Hà Nội",05/05/2023
7061,"Bán đất xã  Dục Nội  - Đông Anh diện tích 170m2 mặt tiền 7,8 m giá rẻ bất ngờ 3,9 tỷ","3,5m",0,170.0,"3,9 tỷ",Huyện Đông Anh,"Thị trấn Đông Anh, Huyện Đông Anh, Hà Nội",05/05/2023
7062,"Bán Gấp Đất Xuân Phương, Ô Tô Đỗ Cách 30M, Ngõ Thông, MT5.3M, Dt 112m. Giá 5.6 Tỷ.",3m,0,112.0,"5,6 tỷ",Quận Nam Từ Liêm,"Đường Phương Canh, Phường Phương Canh, Quận Nam Từ Liêm, Hà Nội",05/05/2023
7063,"Bán đất thôn Lương Quy xã Xuân Nôn Đông Anh 90m2 mặt tiền 4,5 m giá 3,1 tỷ trục đường",5m,0,90.0,"3,1 tỷ",Huyện Đông Anh,"Xã Xuân Nộn, Huyện Đông Anh, Hà Nội",05/05/2023
7064,"Bán 227m đất Âu Cơ- Khu vực  sắp hạ đê - Mặt tiền 10.5m giá 33 tỷ,",4m,0,227.0,33 tỷ,Quận Tây Hồ,"Đường Âu Cơ, Phường Tứ Liên, Quận Tây Hồ, Hà Nội",05/05/2023
7065,"Cần bán đất thôn Cán Khê Nguyên Khê Đông Anh chỉ  2,8 tỷ với diện tích 75m2",6m,0,75.0,"2,8 tỷ",Huyện Đông Anh,"Xã Nguyên Khê, Huyện Đông Anh, Hà Nội",05/05/2023
7066,"Bán 180m2 đất xây tòa nhà  khu phân lô đường Cầu Diễn , Mặt tiền 11m, Gần nhiều trường ĐH",6m,0,180.0,25 tỷ,Quận Bắc Từ Liêm,"Đường Cầu Diễn, Phường Phú Diễn, Quận Bắc Từ Liêm, Hà Nội",05/05/2023
7067,"Bán nhanh 100m2 trục chính kinh doanh tổ 4 TT Quang Minh - Mê Linh , đường oto tránh .",6m,0,100.0,"3,25 tỷ",Huyện Mê Linh,"Đường Quang Minh, Thị trấn Quang Minh, Huyện Mê Linh, Hà Nội",05/05/2023
7068,GIÁ SỐC 230m2 view hồ Bắc Thượng giá 1xtr/m2,3m,0,230.0,"3,22 tỷ",Huyện Sóc Sơn,"Đường Tỉnh Lộ 131, Xã Quang Tiến, Huyện Sóc Sơn, Hà Nội",05/05/2023
